Kinetics/Time

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001587
Software Version:,,,"2.1,  Build 5"
Firmware Version:,,,2.0.102
Method Name:,,,CoA nadh assay
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Kinetics Time\Chia-I\031017\H209K_10.dux
Date Acquired:,,,"March 10, 2017 2:54 PM"

Analytical Wavelength:,,,340.0 nm
Bkg Wavelength:,,,700.0 nm
Bkg Correction:,,,No
Number of Samples:,,,1
Sample Assignment:,,,S
Interval Time:,,,10.0 sec
Total Time:,,,15.0 min
Factor:,,,1.0000
Units:,,,mg/ml
Temperature:,,,N/A
Delta Abs:,,,No
Curve Offset:,,,None
Read Average Time:,,,0.50 sec

RATE DATA
,,Sample 1
Initial Time,,0.00
Final Time,,15.00
Factor,,1.0000
Rate dAbs/Min,,-0.0010
Corr Coeff,,-0.0344
Variance,,0.017559
Result unit/min,,0.0010

ANALYTICAL ABSORBANCES
Time,,Sample 1
0.00,,1.0119
0.17,,1.0081
0.33,,1.0017
0.50,,-0.3000
0.67,,0.9771
0.83,,0.9731
1.00,,0.9702
1.17,,0.9682
1.33,,0.9663
1.50,,0.9648
1.67,,0.9629
1.83,,0.9614
2.00,,0.9591
2.17,,0.9586
2.33,,0.9571
2.50,,0.9562
2.67,,0.9557
2.83,,0.9548
3.00,,0.9533
3.17,,0.9529
3.33,,0.9519
3.50,,0.9515
3.67,,0.9501
3.83,,0.9491
4.00,,0.9482
4.17,,0.9473
4.33,,0.9468
4.50,,0.9454
4.67,,0.9445
4.83,,0.9440
5.00,,0.9426
5.17,,0.9417
5.33,,0.9408
5.50,,0.9399
5.67,,0.9394
5.83,,0.9385
6.00,,0.9376
6.17,,0.9362
6.33,,0.9362
6.50,,0.9349
6.67,,0.9340
6.83,,0.9326
7.00,,0.9317
7.17,,0.9308
7.33,,0.9308
7.50,,0.9290
7.67,,0.9286
7.83,,0.9277
8.00,,0.9268
8.17,,0.9255
8.33,,0.9246
8.50,,0.9233
8.67,,0.9224
8.83,,0.9219
9.00,,0.9215
9.17,,0.9206
9.33,,0.9189
9.50,,0.9180
9.67,,0.9167
9.83,,0.9154
10.00,,0.9150
10.17,,0.9141
10.33,,0.9128
10.50,,0.9124
10.67,,0.9120
10.83,,0.9115
11.00,,0.9107
11.17,,0.9094
11.33,,0.9081
11.50,,0.9073
11.67,,0.9064
11.83,,0.9060
12.00,,0.9043
12.17,,0.9030
12.33,,0.9018
12.50,,0.9005
12.67,,0.9001
12.83,,0.8993
13.00,,0.8984
13.17,,0.8976
13.33,,0.8968
13.50,,0.8959
13.67,,0.8947
13.83,,0.8947
14.00,,0.8931
14.17,,0.8927
14.33,,0.8918
14.50,,0.8910
14.67,,0.8894
14.83,,0.8886
15.00,,0.8873

NET ABSORBANCES
Time,,Sample 1
0.00,,1.0119
0.17,,1.0081
0.33,,1.0017
0.50,,-0.3000
0.67,,0.9771
0.83,,0.9731
1.00,,0.9702
1.17,,0.9682
1.33,,0.9663
1.50,,0.9648
1.67,,0.9629
1.83,,0.9614
2.00,,0.9591
2.17,,0.9586
2.33,,0.9571
2.50,,0.9562
2.67,,0.9557
2.83,,0.9548
3.00,,0.9533
3.17,,0.9529
3.33,,0.9519
3.50,,0.9515
3.67,,0.9501
3.83,,0.9491
4.00,,0.9482
4.17,,0.9473
4.33,,0.9468
4.50,,0.9454
4.67,,0.9445
4.83,,0.9440
5.00,,0.9426
5.17,,0.9417
5.33,,0.9408
5.50,,0.9399
5.67,,0.9394
5.83,,0.9385
6.00,,0.9376
6.17,,0.9362
6.33,,0.9362
6.50,,0.9349
6.67,,0.9340
6.83,,0.9326
7.00,,0.9317
7.17,,0.9308
7.33,,0.9308
7.50,,0.9290
7.67,,0.9286
7.83,,0.9277
8.00,,0.9268
8.17,,0.9255
8.33,,0.9246
8.50,,0.9233
8.67,,0.9224
8.83,,0.9219
9.00,,0.9215
9.17,,0.9206
9.33,,0.9189
9.50,,0.9180
9.67,,0.9167
9.83,,0.9154
10.00,,0.9150
10.17,,0.9141
10.33,,0.9128
10.50,,0.9124
10.67,,0.9120
10.83,,0.9115
11.00,,0.9107
11.17,,0.9094
11.33,,0.9081
11.50,,0.9073
11.67,,0.9064
11.83,,0.9060
12.00,,0.9043
12.17,,0.9030
12.33,,0.9018
12.50,,0.9005
12.67,,0.9001
12.83,,0.8993
13.00,,0.8984
13.17,,0.8976
13.33,,0.8968
13.50,,0.8959
13.67,,0.8947
13.83,,0.8947
14.00,,0.8931
14.17,,0.8927
14.33,,0.8918
14.50,,0.8910
14.67,,0.8894
14.83,,0.8886
15.00,,0.8873

CORRECTED ABSORBANCES
Time,,Sample 1
0.00,,1.0119
0.17,,1.0081
0.33,,1.0017
0.50,,-0.3000
0.67,,0.9771
0.83,,0.9731
1.00,,0.9702
1.17,,0.9682
1.33,,0.9663
1.50,,0.9648
1.67,,0.9629
1.83,,0.9614
2.00,,0.9591
2.17,,0.9586
2.33,,0.9571
2.50,,0.9562
2.67,,0.9557
2.83,,0.9548
3.00,,0.9533
3.17,,0.9529
3.33,,0.9519
3.50,,0.9515
3.67,,0.9501
3.83,,0.9491
4.00,,0.9482
4.17,,0.9473
4.33,,0.9468
4.50,,0.9454
4.67,,0.9445
4.83,,0.9440
5.00,,0.9426
5.17,,0.9417
5.33,,0.9408
5.50,,0.9399
5.67,,0.9394
5.83,,0.9385
6.00,,0.9376
6.17,,0.9362
6.33,,0.9362
6.50,,0.9349
6.67,,0.9340
6.83,,0.9326
7.00,,0.9317
7.17,,0.9308
7.33,,0.9308
7.50,,0.9290
7.67,,0.9286
7.83,,0.9277
8.00,,0.9268
8.17,,0.9255
8.33,,0.9246
8.50,,0.9233
8.67,,0.9224
8.83,,0.9219
9.00,,0.9215
9.17,,0.9206
9.33,,0.9189
9.50,,0.9180
9.67,,0.9167
9.83,,0.9154
10.00,,0.9150
10.17,,0.9141
10.33,,0.9128
10.50,,0.9124
10.67,,0.9120
10.83,,0.9115
11.00,,0.9107
11.17,,0.9094
11.33,,0.9081
11.50,,0.9073
11.67,,0.9064
11.83,,0.9060
12.00,,0.9043
12.17,,0.9030
12.33,,0.9018
12.50,,0.9005
12.67,,0.9001
12.83,,0.8993
13.00,,0.8984
13.17,,0.8976
13.33,,0.8968
13.50,,0.8959
13.67,,0.8947
13.83,,0.8947
14.00,,0.8931
14.17,,0.8927
14.33,,0.8918
14.50,,0.8910
14.67,,0.8894
14.83,,0.8886
15.00,,0.8873
