Kinetics/Time

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001587
Software Version:,,,"2.1,  Build 5"
Firmware Version:,,,2.0.102
Method Name:,,,CoA nadh assay
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Kinetics Time\Chia-I\031017\H209R_100.dux
Date Acquired:,,,"March 10, 2017 5:32 PM"

Analytical Wavelength:,,,340.0 nm
Bkg Wavelength:,,,700.0 nm
Bkg Correction:,,,No
Number of Samples:,,,1
Sample Assignment:,,,S
Interval Time:,,,10.0 sec
Total Time:,,,15.0 min
Factor:,,,1.0000
Units:,,,mg/ml
Temperature:,,,N/A
Delta Abs:,,,No
Curve Offset:,,,None
Read Average Time:,,,0.50 sec

RATE DATA
,,Sample 1
Initial Time,,0.00
Final Time,,15.00
Factor,,1.0000
Rate dAbs/Min,,-0.0271
Corr Coeff,,-0.6715
Variance,,0.017547
Result unit/min,,0.0271

ANALYTICAL ABSORBANCES
Time,,Sample 1
0.00,,1.0532
0.17,,1.0358
0.33,,1.0206
0.50,,-0.3000
0.67,,0.9887
0.83,,0.9771
1.00,,0.9677
1.17,,0.9653
1.33,,0.9524
1.50,,0.9399
1.67,,0.9335
1.83,,0.9268
2.00,,0.9180
2.17,,0.9094
2.33,,0.9030
2.50,,0.8959
2.67,,0.8898
2.83,,0.8833
3.00,,0.8773
3.17,,0.8706
3.33,,0.8648
3.50,,0.8591
3.67,,0.8531
3.83,,0.8471
4.00,,0.8409
4.17,,0.8347
4.33,,0.8294
4.50,,0.8237
4.67,,0.8178
4.83,,0.8123
5.00,,0.8065
5.17,,0.8012
5.33,,0.7959
5.50,,0.7904
5.67,,0.7846
5.83,,0.7798
6.00,,0.7741
6.17,,0.7688
6.33,,0.7633
6.50,,0.7582
6.67,,0.7528
6.83,,0.7478
7.00,,0.7425
7.17,,0.7379
7.33,,0.7327
7.50,,0.7274
7.67,,0.7223
7.83,,0.7171
8.00,,0.7119
8.17,,0.7068
8.33,,0.7020
8.50,,0.6970
8.67,,0.6918
8.83,,0.6872
9.00,,0.6821
9.17,,0.6766
9.33,,0.6716
9.50,,0.6679
9.67,,0.6631
9.83,,0.6578
10.00,,0.6530
10.17,,0.6490
10.33,,0.6446
10.50,,0.6395
10.67,,0.6352
10.83,,0.6305
11.00,,0.6255
11.17,,0.6209
11.33,,0.6161
11.50,,0.6118
11.67,,0.6073
11.83,,0.6028
12.00,,0.5984
12.17,,0.5935
12.33,,0.5892
12.50,,0.5849
12.67,,0.5805
12.83,,0.5759
13.00,,0.5722
13.17,,0.5675
13.33,,0.5634
13.50,,0.5592
13.67,,0.5548
13.83,,0.5503
14.00,,0.5461
14.17,,0.5418
14.33,,0.5373
14.50,,0.5330
14.67,,0.5283
14.83,,0.5243
15.00,,0.5201

NET ABSORBANCES
Time,,Sample 1
0.00,,1.0532
0.17,,1.0358
0.33,,1.0206
0.50,,-0.3000
0.67,,0.9887
0.83,,0.9771
1.00,,0.9677
1.17,,0.9653
1.33,,0.9524
1.50,,0.9399
1.67,,0.9335
1.83,,0.9268
2.00,,0.9180
2.17,,0.9094
2.33,,0.9030
2.50,,0.8959
2.67,,0.8898
2.83,,0.8833
3.00,,0.8773
3.17,,0.8706
3.33,,0.8648
3.50,,0.8591
3.67,,0.8531
3.83,,0.8471
4.00,,0.8409
4.17,,0.8347
4.33,,0.8294
4.50,,0.8237
4.67,,0.8178
4.83,,0.8123
5.00,,0.8065
5.17,,0.8012
5.33,,0.7959
5.50,,0.7904
5.67,,0.7846
5.83,,0.7798
6.00,,0.7741
6.17,,0.7688
6.33,,0.7633
6.50,,0.7582
6.67,,0.7528
6.83,,0.7478
7.00,,0.7425
7.17,,0.7379
7.33,,0.7327
7.50,,0.7274
7.67,,0.7223
7.83,,0.7171
8.00,,0.7119
8.17,,0.7068
8.33,,0.7020
8.50,,0.6970
8.67,,0.6918
8.83,,0.6872
9.00,,0.6821
9.17,,0.6766
9.33,,0.6716
9.50,,0.6679
9.67,,0.6631
9.83,,0.6578
10.00,,0.6530
10.17,,0.6490
10.33,,0.6446
10.50,,0.6395
10.67,,0.6352
10.83,,0.6305
11.00,,0.6255
11.17,,0.6209
11.33,,0.6161
11.50,,0.6118
11.67,,0.6073
11.83,,0.6028
12.00,,0.5984
12.17,,0.5935
12.33,,0.5892
12.50,,0.5849
12.67,,0.5805
12.83,,0.5759
13.00,,0.5722
13.17,,0.5675
13.33,,0.5634
13.50,,0.5592
13.67,,0.5548
13.83,,0.5503
14.00,,0.5461
14.17,,0.5418
14.33,,0.5373
14.50,,0.5330
14.67,,0.5283
14.83,,0.5243
15.00,,0.5201

CORRECTED ABSORBANCES
Time,,Sample 1
0.00,,1.0532
0.17,,1.0358
0.33,,1.0206
0.50,,-0.3000
0.67,,0.9887
0.83,,0.9771
1.00,,0.9677
1.17,,0.9653
1.33,,0.9524
1.50,,0.9399
1.67,,0.9335
1.83,,0.9268
2.00,,0.9180
2.17,,0.9094
2.33,,0.9030
2.50,,0.8959
2.67,,0.8898
2.83,,0.8833
3.00,,0.8773
3.17,,0.8706
3.33,,0.8648
3.50,,0.8591
3.67,,0.8531
3.83,,0.8471
4.00,,0.8409
4.17,,0.8347
4.33,,0.8294
4.50,,0.8237
4.67,,0.8178
4.83,,0.8123
5.00,,0.8065
5.17,,0.8012
5.33,,0.7959
5.50,,0.7904
5.67,,0.7846
5.83,,0.7798
6.00,,0.7741
6.17,,0.7688
6.33,,0.7633
6.50,,0.7582
6.67,,0.7528
6.83,,0.7478
7.00,,0.7425
7.17,,0.7379
7.33,,0.7327
7.50,,0.7274
7.67,,0.7223
7.83,,0.7171
8.00,,0.7119
8.17,,0.7068
8.33,,0.7020
8.50,,0.6970
8.67,,0.6918
8.83,,0.6872
9.00,,0.6821
9.17,,0.6766
9.33,,0.6716
9.50,,0.6679
9.67,,0.6631
9.83,,0.6578
10.00,,0.6530
10.17,,0.6490
10.33,,0.6446
10.50,,0.6395
10.67,,0.6352
10.83,,0.6305
11.00,,0.6255
11.17,,0.6209
11.33,,0.6161
11.50,,0.6118
11.67,,0.6073
11.83,,0.6028
12.00,,0.5984
12.17,,0.5935
12.33,,0.5892
12.50,,0.5849
12.67,,0.5805
12.83,,0.5759
13.00,,0.5722
13.17,,0.5675
13.33,,0.5634
13.50,,0.5592
13.67,,0.5548
13.83,,0.5503
14.00,,0.5461
14.17,,0.5418
14.33,,0.5373
14.50,,0.5330
14.67,,0.5283
14.83,,0.5243
15.00,,0.5201
