Kinetics/Time

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001587
Software Version:,,,"2.1,  Build 5"
Firmware Version:,,,2.0.102
Method Name:,,,CoA nadh assay
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Kinetics Time\Chia-I\031017\H209K_100.dux
Date Acquired:,,,"March 10, 2017 4:36 PM"

Analytical Wavelength:,,,340.0 nm
Bkg Wavelength:,,,700.0 nm
Bkg Correction:,,,No
Number of Samples:,,,1
Sample Assignment:,,,S
Interval Time:,,,10.0 sec
Total Time:,,,15.0 min
Factor:,,,1.0000
Units:,,,mg/ml
Temperature:,,,N/A
Delta Abs:,,,No
Curve Offset:,,,None
Read Average Time:,,,0.50 sec

RATE DATA
,,Sample 1
Initial Time,,0.00
Final Time,,15.00
Factor,,1.0000
Rate dAbs/Min,,-0.0421
Corr Coeff,,-0.7552
Variance,,0.026105
Result unit/min,,0.0421

ANALYTICAL ABSORBANCES
Time,,Sample 1
0.00,,0.9376
0.17,,0.9246
0.33,,0.9064
0.50,,-0.3000
0.67,,-0.3000
0.83,,0.8390
1.00,,0.8223
1.17,,0.8062
1.33,,0.7917
1.50,,0.7769
1.67,,0.7633
1.83,,0.7504
2.00,,0.7379
2.17,,0.7268
2.33,,0.7160
2.50,,0.7055
2.67,,0.6952
2.83,,0.6852
3.00,,0.6753
3.17,,0.6660
3.33,,0.6566
3.50,,0.6472
3.67,,0.6384
3.83,,0.6291
4.00,,0.6200
4.17,,0.6114
4.33,,0.6022
4.50,,0.5935
4.67,,0.5845
4.83,,0.5757
5.00,,0.5671
5.17,,0.5581
5.33,,0.5496
5.50,,0.5407
5.67,,0.5322
5.83,,0.5236
6.00,,0.5149
6.17,,0.5064
6.33,,0.4978
6.50,,0.4895
6.67,,0.4808
6.83,,0.4726
7.00,,0.4641
7.17,,0.4556
7.33,,0.4473
7.50,,0.4391
7.67,,0.4306
7.83,,0.4223
8.00,,0.4139
8.17,,0.4058
8.33,,0.3977
8.50,,0.3895
8.67,,0.3816
8.83,,0.3737
9.00,,0.3658
9.17,,0.3578
9.33,,0.3502
9.50,,0.3426
9.67,,0.3353
9.83,,0.3274
10.00,,0.3197
10.17,,0.3118
10.33,,0.3041
10.50,,0.2966
10.67,,0.2890
10.83,,0.2812
11.00,,0.2736
11.17,,0.2660
11.33,,0.2588
11.50,,0.2519
11.67,,0.2451
11.83,,0.2383
12.00,,0.2313
12.17,,0.2240
12.33,,0.2170
12.50,,0.2097
12.67,,0.2027
12.83,,0.1959
13.00,,0.1891
13.17,,0.1825
13.33,,0.1759
13.50,,0.1693
13.67,,0.1627
13.83,,0.1564
14.00,,0.1501
14.17,,0.1444
14.33,,0.1385
14.50,,0.1328
14.67,,0.1277
14.83,,0.1231
15.00,,0.1191

NET ABSORBANCES
Time,,Sample 1
0.00,,0.9376
0.17,,0.9246
0.33,,0.9064
0.50,,-0.3000
0.67,,-0.3000
0.83,,0.8390
1.00,,0.8223
1.17,,0.8062
1.33,,0.7917
1.50,,0.7769
1.67,,0.7633
1.83,,0.7504
2.00,,0.7379
2.17,,0.7268
2.33,,0.7160
2.50,,0.7055
2.67,,0.6952
2.83,,0.6852
3.00,,0.6753
3.17,,0.6660
3.33,,0.6566
3.50,,0.6472
3.67,,0.6384
3.83,,0.6291
4.00,,0.6200
4.17,,0.6114
4.33,,0.6022
4.50,,0.5935
4.67,,0.5845
4.83,,0.5757
5.00,,0.5671
5.17,,0.5581
5.33,,0.5496
5.50,,0.5407
5.67,,0.5322
5.83,,0.5236
6.00,,0.5149
6.17,,0.5064
6.33,,0.4978
6.50,,0.4895
6.67,,0.4808
6.83,,0.4726
7.00,,0.4641
7.17,,0.4556
7.33,,0.4473
7.50,,0.4391
7.67,,0.4306
7.83,,0.4223
8.00,,0.4139
8.17,,0.4058
8.33,,0.3977
8.50,,0.3895
8.67,,0.3816
8.83,,0.3737
9.00,,0.3658
9.17,,0.3578
9.33,,0.3502
9.50,,0.3426
9.67,,0.3353
9.83,,0.3274
10.00,,0.3197
10.17,,0.3118
10.33,,0.3041
10.50,,0.2966
10.67,,0.2890
10.83,,0.2812
11.00,,0.2736
11.17,,0.2660
11.33,,0.2588
11.50,,0.2519
11.67,,0.2451
11.83,,0.2383
12.00,,0.2313
12.17,,0.2240
12.33,,0.2170
12.50,,0.2097
12.67,,0.2027
12.83,,0.1959
13.00,,0.1891
13.17,,0.1825
13.33,,0.1759
13.50,,0.1693
13.67,,0.1627
13.83,,0.1564
14.00,,0.1501
14.17,,0.1444
14.33,,0.1385
14.50,,0.1328
14.67,,0.1277
14.83,,0.1231
15.00,,0.1191

CORRECTED ABSORBANCES
Time,,Sample 1
0.00,,0.9376
0.17,,0.9246
0.33,,0.9064
0.50,,-0.3000
0.67,,-0.3000
0.83,,0.8390
1.00,,0.8223
1.17,,0.8062
1.33,,0.7917
1.50,,0.7769
1.67,,0.7633
1.83,,0.7504
2.00,,0.7379
2.17,,0.7268
2.33,,0.7160
2.50,,0.7055
2.67,,0.6952
2.83,,0.6852
3.00,,0.6753
3.17,,0.6660
3.33,,0.6566
3.50,,0.6472
3.67,,0.6384
3.83,,0.6291
4.00,,0.6200
4.17,,0.6114
4.33,,0.6022
4.50,,0.5935
4.67,,0.5845
4.83,,0.5757
5.00,,0.5671
5.17,,0.5581
5.33,,0.5496
5.50,,0.5407
5.67,,0.5322
5.83,,0.5236
6.00,,0.5149
6.17,,0.5064
6.33,,0.4978
6.50,,0.4895
6.67,,0.4808
6.83,,0.4726
7.00,,0.4641
7.17,,0.4556
7.33,,0.4473
7.50,,0.4391
7.67,,0.4306
7.83,,0.4223
8.00,,0.4139
8.17,,0.4058
8.33,,0.3977
8.50,,0.3895
8.67,,0.3816
8.83,,0.3737
9.00,,0.3658
9.17,,0.3578
9.33,,0.3502
9.50,,0.3426
9.67,,0.3353
9.83,,0.3274
10.00,,0.3197
10.17,,0.3118
10.33,,0.3041
10.50,,0.2966
10.67,,0.2890
10.83,,0.2812
11.00,,0.2736
11.17,,0.2660
11.33,,0.2588
11.50,,0.2519
11.67,,0.2451
11.83,,0.2383
12.00,,0.2313
12.17,,0.2240
12.33,,0.2170
12.50,,0.2097
12.67,,0.2027
12.83,,0.1959
13.00,,0.1891
13.17,,0.1825
13.33,,0.1759
13.50,,0.1693
13.67,,0.1627
13.83,,0.1564
14.00,,0.1501
14.17,,0.1444
14.33,,0.1385
14.50,,0.1328
14.67,,0.1277
14.83,,0.1231
15.00,,0.1191
